10,,10,,10,,10,,10,,10,,10,,10,,10,,10,
Manual run 4:10_UV,,Manual run 4:10_Cond,,Manual run 4:10_Cond%,,Manual run 4:10_Conc,,Manual run 4:10_Pressure,,Manual run 4:10_Flow,,Manual run 4:10_Temp,,Manual run 4:10_Fractions,,Manual run 4:10_Inject,,Manual run 4:10_Logbook,
ml, mAU,ml, mS/cm,ml, %,ml, %B,ml, MPa,ml, ml/min,ml, °C,ml,(Fractions),ml,(Injections),ml,(Set Marks)
17.13,13.66,17.13,19.48,17.13,19.50,17.13,100.00,17.13,0.36,17.13,1.00,17.13,7.90,,,,,,
17.26,13.75,17.26,19.50,17.26,19.50,17.26,100.00,17.26,0.36,17.26,1.00,17.26,7.90,,,,,,
17.39,13.85,17.39,19.52,17.39,19.50,17.39,100.00,17.39,0.36,17.39,1.00,17.39,7.90,,,,,,
17.52,13.88,17.52,19.52,17.52,19.50,17.52,100.00,17.52,0.36,17.52,1.00,17.52,7.90,,,,,,
17.65,13.83,17.65,19.52,17.65,19.50,17.65,100.00,17.65,0.36,17.65,1.00,17.65,7.90,,,,,,
17.78,13.79,17.78,19.52,17.78,19.50,17.78,100.00,17.78,0.36,17.78,1.00,17.78,7.90,,,,,,
17.91,13.73,17.91,19.52,17.91,19.50,17.91,100.00,17.91,0.36,17.91,1.00,17.91,7.90,,,,,,
18.04,13.78,18.04,19.53,18.04,19.50,18.04,100.00,18.04,0.36,18.04,1.00,18.04,7.90,,,,,,
18.17,13.74,18.17,19.52,18.17,19.50,18.17,100.00,18.17,0.36,18.17,1.00,18.17,7.90,,,,,,
18.30,13.67,18.30,19.52,18.30,19.50,18.30,100.00,18.30,0.36,18.30,1.00,18.30,7.90,,,,,,
18.43,13.79,18.43,19.51,18.42,19.50,18.42,100.00,18.42,0.36,18.43,1.00,18.43,7.90,,,,,,
18.56,13.80,18.56,19.55,18.55,19.60,18.55,100.00,18.55,0.36,18.56,1.00,18.56,7.90,,,,,,
18.69,13.91,18.68,19.57,18.68,19.60,18.68,100.00,18.68,0.36,18.68,1.00,18.68,7.90,,,,,,
18.82,13.84,18.81,19.59,18.81,19.60,18.81,100.00,18.81,0.36,18.81,1.00,18.81,7.90,,,,,,
18.94,13.82,18.94,19.59,18.94,19.60,18.94,100.00,18.94,0.36,18.94,1.00,18.94,7.90,,,,,,
19.07,13.96,19.07,19.60,19.07,19.60,19.07,100.00,19.07,0.36,19.07,1.00,19.07,7.90,,,,,,
19.20,13.87,19.20,19.62,19.20,19.60,19.20,100.00,19.20,0.36,19.20,1.00,19.20,7.90,,,,,,
19.33,13.89,19.33,19.62,19.33,19.60,19.33,100.00,19.33,0.36,19.33,1.00,19.33,7.90,,,,,,
19.46,13.87,19.46,19.62,19.46,19.60,19.46,100.00,19.46,0.35,19.46,1.00,19.46,7.90,,,,,,
19.59,13.93,19.59,19.63,19.59,19.60,19.59,100.00,19.59,0.36,19.59,1.00,19.59,7.90,,,,,,
19.72,13.86,19.72,19.67,19.72,19.70,19.72,100.00,19.72,0.36,19.72,1.00,19.72,7.90,,,,,,
19.85,13.87,19.85,19.64,19.85,19.60,19.85,100.00,19.85,0.36,19.85,1.00,19.85,7.90,,,,,,
19.98,13.86,19.98,19.64,19.98,19.60,19.98,100.00,19.98,0.36,19.98,1.00,19.98,7.90,,,,,,
20.11,13.92,20.11,19.63,20.11,19.60,20.11,100.00,20.11,0.36,20.11,1.00,20.11,7.90,,,,,,
20.24,13.95,20.24,19.62,20.24,19.60,20.24,100.00,20.24,0.36,20.24,1.00,20.24,7.90,,,,,,
20.37,13.94,20.37,19.61,20.37,19.60,20.37,100.00,20.37,0.36,20.37,1.00,20.37,8.00,,,,,,
20.50,13.96,20.50,19.60,20.50,19.60,20.50,100.00,20.50,0.36,20.50,1.00,20.50,8.00,,,,,,
20.63,13.86,20.63,19.59,20.63,19.60,20.63,100.00,20.63,0.36,20.63,1.00,20.63,8.00,,,,,,
20.76,13.95,20.76,19.58,20.76,19.60,20.76,100.00,20.76,0.36,20.76,1.00,20.76,8.00,,,,,,
20.89,13.88,20.89,19.57,20.89,19.60,20.89,100.00,20.89,0.36,20.89,1.00,20.89,8.00,,,,,,
21.02,13.82,21.02,19.56,21.02,19.60,21.02,100.00,21.02,0.36,21.02,1.00,21.02,8.00,,,,,,
21.15,13.94,21.15,19.54,21.15,19.50,21.15,100.00,21.15,0.36,21.15,1.00,21.15,8.00,,,,,,
21.28,13.97,21.28,19.53,21.28,19.50,21.28,100.00,21.28,0.36,21.28,1.00,21.28,8.00,,,,,,
21.41,13.83,21.41,19.54,21.41,19.50,21.41,100.00,21.41,0.36,21.41,1.00,21.41,8.00,,,,,,
21.54,13.89,21.54,19.54,21.54,19.50,21.54,100.00,21.54,0.36,21.54,1.00,21.54,8.00,,,,,,
21.67,13.95,21.67,19.53,21.67,19.50,21.67,100.00,21.67,0.36,21.67,1.00,21.67,8.00,,,,,,
21.80,13.83,21.80,19.53,21.80,19.50,21.80,100.00,21.80,0.36,21.80,1.00,21.80,8.00,,,,,,
